Titulo,Autor,Editorial,Anio,Pais,Prestado
"Crisis, ruptura y superación: Análisis transicional en psicoanálisis individual y grupal",Varios,Ediciones Cinco,1979,Argentina,No
Doce temas de formación,"Agudelo, S.",CINTEFOR/OIT,1993,Uruguay,No
La microempresa: producción y empleo para el desarrollo,OIT,OIT,1991,Uruguay,No
Jornada sociolaboral: la orientación profesional y ocupacional,Ministerio de trabajo y seguridad social (Col),Ministerio de trabajo y seguridad social (Col),1991,Colombia,No
Cómo realizar un proyecto de capacitación: un efoque de la ingeniería de la capacitación,"Pain, A.",Granica,1990,Argentina,No
No matar: sobre la responsabilidad,La intemperie,La intemperie,2007,Argentina,No
"Universidad transhumante: territorios, redes y lenguajes",Colectivo Situaciones,Tinta Limón,2004,Argentina,No
Nuevas tecnologías enla ciudad: información y comunicación en la cotidianeidad,"Finquelievich, S. ; Vidal, A. ; Karol, J.",Centro Editor de América Latina,1992,Argentina,No
Obras escogidas de Mao Tsetung. Tomo I,"Tsetung, M.",Editorial del Pueblo,1971,China,No
Obras escogidas de Mao Tsetung. Tomo II,"Tsetung, M.",Editorial del Pueblo,1971,China,No
Obras escogidas de Mao Tsetung. Tomo III,"Tsetung, M.",Editorial del Pueblo,1971,China,No
Obras escogidas de Mao Tsetung. Tomo IV,"Tsetung, M.",Editorial del Pueblo,1971,China,No
El hombre telespectador,"Cazeneuve, J.",Gustavo Gili,1977,España,No
Cómo preparar monografías e informes,"Standop, E.",Kapelusz,1976,Argentina,No
El pensamiento lateral: manual de creatividad,"de Bono, E.",Paidós,1992,Argentina,No
El trabajo del actor sobre su papel,"Stanislavski, C.",Quetzal,1977,Argentina,No
El trabajo del actor sobre sí mismo: en el proceso creador de las vivencias,"Stanislavski, C.",Quetzal,1977,Argentina,No
El trabajo del actor sobre sí mismo: en el proceso creador de la encarnación,"Stanislavski, C.",Quetzal,1979,Argentina,No
"Diccionario de los medios de comunicación: técnica, semiología, lingüística","Fages, J. ; Pagano, C.",Fernando Torres Editor,1978,España,No
"Lenguaje, significado y contexto","Lyons, J.",Paidós,1981,España,No
La entrevista periodística: intimidades de la conversación pública,"Halperín, J.",Paidós,1995,Argentina,No
Identidad de las organizaciones: invariancia y cambio,"Etkin, J. ; Schvarstein, L.",Paidós,1994,Argentina,No
Antología Poética,"Corso, G.",Ediciones del Mediodía,1969,Argentina,No
El trabajo: una nueva civilización y cultura del trabajo,"Máspero, E.",Hvmanitas,1984,Argentina,No
El empleo en el sector informal: su integración a las estructuras económicas,"Charmes, J.",Hvmanitas,1992,Argentina,No
La élite del poder,"Wright, C.",Fondo de Cultura Económica,1969,México,No
La evolución de las ideas argentinas. Tomo I,"Ingenieros, J.",Editorial Problemas,1946,Argentina,No
La evolución de las ideas argentinas. Tomo II,"Ingenieros, J.",Editorial Problemas,1946,Argentina,No
La evolución de las ideas argentinas. Tomo IV,"Ingenieros, J.",Editorial Problemas,1946,Argentina,No
Peronismo y menemismo: avatares del populismo en la Argentina,"Borón, A. ; Mora, M. ; Nun, J. ; Portantiero, J. ; Sidicaro, R.",El cielo por asalto,1995,Argentina,No
La tercera vía: la renovación de la socialdemocracia,"Giddens, A.",Taurus,1999,España,No
Juan B. Justo: El patriarca socialista,"Portantiero, J.",Capital Intelectual,2006,Argentina,No
El diálogo de la época: Católicos y marxistas,Varios,Editorial Platina,1965,Argentina,No
Masas y élites en iberoamérica,"Palacios, A.",Columba,1956,Argentina,No
Con Perón hacia el socialismo nacional,"Orellano, J.",Trasvasamiento,1973,Argentina,No
Lenin,"Stalin, J.",Ediciones en lenguas extranjeras,1946,URSS,No
La simulación en la lucha por la vida,"Ingenieros, J.",Roggero-Ronal Editores,1952,Argentina,No
URSS '76: Anuario de la agencia de prensa Nóvosti,Editorial de la Agencia de prensa Nóvosti,Editorial de la Agencia de prensa Nóvosti,1976,URSS,No
"Gabriela, clavo y canela","Amado, J.",Casa de las Américas,1975,Cuba,No
El programa de transición para la revolución socialista,"Trotsky, L.",Ediciones Crux,-,Bolivia,No
En defensa del marxismo,"Trotsky, L.",Fontamara,1977,España,No
La cultura filosófica en España,"Ingenieros, J.",Meridion,1955,Argentina,No
La revolución sandinista,"Marín, J.",Anteo,1984,Argentina,No
Las tácticas del frente único,"Trotsky, L.",Ediciones CEPE,1973,Argentina,No
Acerca de la democracia socialista,"Lenin, V.",Editorial de la Agencia de prensa Nóvosti,1969,URSS,No
La mayor,"Saer, J.",Centro Editor de América Latina,1982,Argentina,No
Bases y puntos de partida para la organización de la República Argentina,"Alberdi, J.",Centro Editor de América Latina,1979,Argentina,No
"Sobre la deuda imapagable de América Latina, sus consecuencias imprevisibles y otros temas de interés político e histórico","Castro, F.",Agencia EFE,1985,Cuba,No
Reforma o revolución,"Luxemburgo, R.",Juan Grijalbo Editor,1967,México,No
Capitalismo e imperialismo norteamericano,"Sweexy, P.",Jorge Álvarez Editor,1963,Argentina,No
Lenin y la filosofía,"Althusser, L.",Ediciones CEPE,1972,Argentina,No
P.T. Brasil: una respuesta latinoamericana al desafío imperialista,"Bilbao, L.",Búsqueda Editora,1990,Argentina,No
Subdesarrollo y estancamiento en América Latina,"Furtado, C.",EUDEBA,1966,Argentina,No
Alfredo L. Palacios: Un socialismo argentino para la Argentina,"García, V.",Centro Editor de América Latina,1986,Argentina,No
Los socialistas independientes 1,"Sanguinetti, H:",Centro Editor de América Latina,1987,Argentina,No
Los socialistas independientes 2,"Sanguinetti, H:",Centro Editor de América Latina,1987,Argentina,No
El ruido y la furia,"Faulkner, W.",Ediciones Cátedra,2005,España,No
La metamorfosis de la cuestión social: una crónica del salariado,"Castel, R.",Paidós,1997,Argentina,No
Sociología del poder: introducción y selección de textos: Antonio Passano,Varios,Centro Editor de América Latina,1978,Argentina,No
El sentido práctico,"Bourdieu, P.",Siglo XXI,2007,Argentina,No
"En letras de sangre y fuego: trabajo, máquinas y crisis del capitalismo","Caffentzis, G.",Tinta Limón,2020,Argentina,No
La guerra de los lugares; la colonización de la tierra y la vivienda en la era de las finanzas,"Rolnik, R.",El Colectivo,2021,Argentina,No
Sociales en debate 05: cultura social del dólar,Varios,UBA Sociales,2013,Argentina,No
El sentimiento de inseguridad: sociología del temor al delito,"Kessler, G.",Siglo XXI,2009,Argentina,No
Revista de investigación interdisciplinaria en métodos experimentales. Año 3: Volumen 1,IADCOM,FCE-UBA,2014,Argentina,No
Sociología argentina,"Ingenieros, J.",Hyspamerica,1988,Argentina,No
Sur: revista mensual. 215-216,Sur,Sur,1952,Argentina,No
El 45,"Luna, F.",Sudamericana,1999,Argentina,No
Historia contemporánea de América Latina,"Halperin, T.",Alianza Editorial,1983,México,No
Los secretos del Congreso,"Sued, G.",Penguin Random House,2019,Argentina,No
Historia del Siglo XX,"Hobsbawm, E.",Planeta,2021,Argentina,No
Microeconomía heterodoxa: modelos sraffianos y marxistas,"Montes, G.",EUDEBA,2022,Argentina,No
Escritos sobre moneda y banca,"Fragueiro, M.",Manuel Belgrano Ediciones,2021,Argentina,No
El acuerdo entre el Mercosur y la Unión Europea: estudio integral de sus cláusulas y efectos,"Ghiotto, L. ; Echaide, J.",Fundación Rosa Luxemburgo,2020,Argentina,No
Atlas del agronegocio: datos y hechos sobre la industria agrícola y de alimentos,Fundación Rosa Luxemburgo,Fundación Rosa Luxemburgo,-,Argentina,No
Los cuadernos de don Rigoberto,"Vargas, M.",Alfaguara,2008,Argentina,No
Fragmentos de un discurso amoroso,"Barthes, R.",Siglo XXI,2008,Argentina,No
El oficio del sociólogo: presupuesto epistemológicos,"Bourdieu, P.",Siglo XXI,2008,Argentina,No
Introducción a los estudios sobre genocidio,"Feierstein, D.",Fondo de Cultura Económica,2016,Argentina,No
La muerte del prójimo,"Zoja, L.",Fondo de Cultura Económica,2015,Argentina,No
Las formas elementales de la vida religiosa,"Durkheim, E.",Alianza Editorial,2014,España,No
Las reglas del método sociológico,"Durkheim, E.",Colihue,2018,Argentina,No
El suicidio,"Durkheim, E.",Terramar Ediciones,2013,Argentina,No
La división del trabajo social,"Durkheim, E.",Akal Ediciones,2001,Argentina,No
"Manual de escritura para científicos sociales: cómo empezar y terminar una tesis, un libro o un artículo","Becker, H.",Siglo XXI,2011,Argentina,No
Obras completas: Tomo 1,"Carri, R.",Ediciones Biblioteca Nacional,2015,Argentina,No
Obras completas: Tomo 2,"Carri, R.",Ediciones Biblioteca Nacional,2015,Argentina,No
La Dame aux camélias,"Dumas, A.",Pocket,2020,Francia,No
"Walsh, el criptógrafo. Escritura y acción política en la obra de Rodolfo Walsh","Beatriz, S.",El Colectivo,2011,Argentina,No
Vanguardia y posmodernismo,"Salvador, N.",Corregidor,2011,Argentina,No
